"REF_DATE","GEO","DGUID","Trade","North American Product Classification System (NAPCS)","Principal trading partners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","81103","","","","0"
"2018-02","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","78594","","","","0"
"2018-03","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","106865","","","","0"
"2018-04","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","90406","","","","0"
"2018-05","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","111770","","","","0"
"2018-06","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","88326","","","","0"
"2018-07","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","97798","","","","0"
"2018-08","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","82868","","","","0"
"2018-09","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","81763","","","","0"
"2018-10","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","85359","","","","0"
"2018-11","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","82306","","","","0"
"2018-12","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","77653","","","","0"
"2019-01","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","75712","","","","0"
"2019-02","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","75119","","","","0"
"2019-03","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","100542","","","","0"
"2019-04","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","91965","","","","0"
"2019-05","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","100325","","","","0"
"2019-06","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","89725","","","","0"
"2019-07","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","86711","","","","0"
"2019-08","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","75512","","","","0"
"2019-09","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","84887","","","","0"
"2019-10","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","96423","","","","0"
"2019-11","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","65363","","","","0"
"2019-12","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","77764","","","","0"
"2020-01","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","61285","","","","0"
"2020-02","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","74049","","","","0"
"2020-03","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","86961","","","","0"
"2020-04","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","44287","","","","0"
"2020-05","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","39356","","","","0"
"2020-06","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","56705","","","","0"
"2020-07","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","46075","","","","0"
"2020-08","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","59817","","","","0"
"2020-09","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","65974","","","","0"
"2020-10","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","72604","","","","0"
"2020-11","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","57009","","","","0"
"2020-12","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","65310","","","","0"
"2021-01","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","53645","","","","0"
"2021-02","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","59116","","","","0"
"2021-03","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","81460","","","","0"
