"REF_DATE","GEO","DGUID","Trade","North American Product Classification System (NAPCS)","Principal trading partners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","British Columbia","2021A000259","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091082","11.1.10.2","146385","","","","0"
"2018-02","British Columbia","2021A000259","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091082","11.1.10.2","141330","","","","0"
"2018-03","British Columbia","2021A000259","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091082","11.1.10.2","189440","","","","0"
"2018-04","British Columbia","2021A000259","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091082","11.1.10.2","165168","","","","0"
"2018-05","British Columbia","2021A000259","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091082","11.1.10.2","188090","","","","0"
"2018-06","British Columbia","2021A000259","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091082","11.1.10.2","220993","","","","0"
"2018-07","British Columbia","2021A000259","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091082","11.1.10.2","155492","","","","0"
"2018-08","British Columbia","2021A000259","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091082","11.1.10.2","184504","","","","0"
"2018-09","British Columbia","2021A000259","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091082","11.1.10.2","234353","","","","0"
"2018-10","British Columbia","2021A000259","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091082","11.1.10.2","167536","","","","0"
"2018-11","British Columbia","2021A000259","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091082","11.1.10.2","178049","","","","0"
"2018-12","British Columbia","2021A000259","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091082","11.1.10.2","158874","","","","0"
"2019-01","British Columbia","2021A000259","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091082","11.1.10.2","182278","","","","0"
"2019-02","British Columbia","2021A000259","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091082","11.1.10.2","163499","","","","0"
"2019-03","British Columbia","2021A000259","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091082","11.1.10.2","271213","","","","0"
"2019-04","British Columbia","2021A000259","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091082","11.1.10.2","213338","","","","0"
"2019-05","British Columbia","2021A000259","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091082","11.1.10.2","238196","","","","0"
"2019-06","British Columbia","2021A000259","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091082","11.1.10.2","263840","","","","0"
"2019-07","British Columbia","2021A000259","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091082","11.1.10.2","184119","","","","0"
"2019-08","British Columbia","2021A000259","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091082","11.1.10.2","194457","","","","0"
"2019-09","British Columbia","2021A000259","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091082","11.1.10.2","202325","","","","0"
"2019-10","British Columbia","2021A000259","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091082","11.1.10.2","170227","","","","0"
