"REF_DATE","GEO","DGUID","Trade","North American Product Classification System (NAPCS)","Principal trading partners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","182548","","","","0"
"2018-02","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","182652","","","","0"
"2018-03","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","219822","","","","0"
"2018-04","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","188174","","","","0"
"2018-05","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","180750","","","","0"
"2018-06","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","167319","","","","0"
"2018-07","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","185949","","","","0"
"2018-08","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","168267","","","","0"
"2018-09","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","166643","","","","0"
"2018-10","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","185290","","","","0"
"2018-11","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","168059","","","","0"
"2018-12","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","153305","","","","0"
"2019-01","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","153432","","","","0"
"2019-02","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","163749","","","","0"
"2019-03","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","179559","","","","0"
"2019-04","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","167079","","","","0"
"2019-05","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","150181","","","","0"
"2019-06","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","141707","","","","0"
"2019-07","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","134875","","","","0"
"2019-08","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","152193","","","","0"
"2019-09","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","153309","","","","0"
"2019-10","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","177843","","","","0"
"2019-11","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","145330","","","","0"
"2019-12","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","141805","","","","0"
"2020-01","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","132564","","","","0"
"2020-02","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","152812","","","","0"
"2020-03","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","193998","","","","0"
"2020-04","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","86214","","","","0"
"2020-05","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","85450","","","","0"
"2020-06","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","122681","","","","0"
"2020-07","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","123905","","","","0"
"2020-08","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","144659","","","","0"
"2020-09","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","140695","","","","0"
"2020-10","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","145142","","","","0"
"2020-11","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","133847","","","","0"
"2020-12","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","130295","","","","0"
"2021-01","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","137850","","","","0"
"2021-02","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","140345","","","","0"
"2021-03","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","195373","","","","0"
"2021-04","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","162248","","","","0"
"2021-05","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","142190","","","","0"
"2021-06","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","149211","","","","0"
"2021-07","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","142325","","","","0"
"2021-08","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","143215","","","","0"
"2021-09","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","148291","","","","0"
"2021-10","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","141868","","","","0"
"2021-11","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","137526","","","","0"
"2021-12","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","151720","","","","0"
"2022-01","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","125716","","","","0"
"2022-02","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","137744","","","","0"
"2022-03","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","209881","","","","0"
"2022-04","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","217803","","","","0"
"2022-05","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","203706","","","","0"
"2022-06","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","215851","","","","0"
"2022-07","Manitoba","2021A000246","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088820","8.1.10.2","177429","","","","0"
