"REF_DATE","GEO","DGUID","Trade","North American Product Classification System (NAPCS)","Principal trading partners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","19213","","","","0"
"2018-02","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","30299","","","","0"
"2018-03","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","24793","","","","0"
"2018-04","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","47296","","","","0"
"2018-05","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","38139","","","","0"
"2018-06","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","26621","","","","0"
"2018-07","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","22692","","","","0"
"2018-08","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","22011","","","","0"
"2018-09","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","20193","","","","0"
"2018-10","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","24688","","","","0"
"2018-11","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","19563","","","","0"
"2018-12","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","17378","","","","0"
"2019-01","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","24166","","","","0"
"2019-02","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","21437","","","","0"
"2019-03","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","28795","","","","0"
"2019-04","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","26441","","","","0"
"2019-05","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","33432","","","","0"
"2019-06","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","25869","","","","0"
"2019-07","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","23377","","","","0"
"2019-08","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","27031","","","","0"
"2019-09","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","20003","","","","0"
"2019-10","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","24299","","","","0"
"2019-11","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","20633","","","","0"
"2019-12","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","15069","","","","0"
"2020-01","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","16536","","","","0"
"2020-02","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","18159","","","","0"
"2020-03","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","20448","","","","0"
"2020-04","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","7496","","","","0"
"2020-05","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","15868","","","","0"
"2020-06","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","14951","","","","0"
"2020-07","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","17194","","","","0"
"2020-08","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","19649","","","","0"
"2020-09","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","14439","","","","0"
"2020-10","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","16282","","","","0"
"2020-11","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","14006","","","","0"
"2020-12","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","12367","","","","0"
"2021-01","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","19406","","","","0"
"2021-02","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","17719","","","","0"
"2021-03","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","18772","","","","0"
"2021-04","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","19766","","","","0"
"2021-05","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","17507","","","","0"
"2021-06","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","19782","","","","0"
"2021-07","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","17902","","","","0"
"2021-08","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","21264","","","","0"
"2021-09","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","16473","","","","0"
"2021-10","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","15391","","","","0"
"2021-11","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","12729","","","","0"
"2021-12","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","16714","","","","0"
"2022-01","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","14338","","","","0"
"2022-02","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","19034","","","","0"
"2022-03","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","17764","","","","0"
"2022-04","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","23128","","","","0"
"2022-05","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","30995","","","","0"
"2022-06","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","32433","","","","0"
"2022-07","New Brunswick","2021A000213","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086558","5.1.10.2","28821","","","","0"
