"REF_DATE","GEO","DGUID","Trade","North American Product Classification System (NAPCS)","Principal trading partners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2018-02","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2018-03","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2018-04","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","9","","","","0"
"2018-05","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2018-06","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2018-07","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","34","","","","0"
"2018-08","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2018-09","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","3","","","","0"
"2018-10","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2018-11","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2018-12","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2019-01","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2019-02","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","72","","","","0"
"2019-03","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","19","","","","0"
"2019-04","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","7","","","","0"
"2019-05","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","492","","","","0"
"2019-06","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","7","","","","0"
"2019-07","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","11","","","","0"
"2019-08","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2019-09","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","1","","","","0"
"2019-10","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2019-11","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","1","","","","0"
"2019-12","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","1","","","","0"
"2020-01","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2020-02","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","125","","","","0"
"2020-03","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","2","","","","0"
"2020-04","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2020-05","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2020-06","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2020-07","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2020-08","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2020-09","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","37","","","","0"
"2020-10","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","6","","","","0"
"2020-11","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","68","","","","0"
"2020-12","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2021-01","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2021-02","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","1","","","","0"
"2021-03","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","1","","","","0"
"2021-04","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","53","","","","0"
"2021-05","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","55","","","","0"
"2021-06","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","7","","","","0"
"2021-07","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2021-08","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2021-09","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","12","","","","0"
"2021-10","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","218","","","","0"
"2021-11","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","21","","","","0"
"2021-12","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","1","","","","0"
"2022-01","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","17","","","","0"
"2022-02","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","0","","","","0"
"2022-03","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","7","","","","0"
"2022-04","Newfoundland and Labrador","2021A000210","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567084296","2.1.10.2","45","","","","0"
