"REF_DATE","GEO","DGUID","Trade","North American Product Classification System (NAPCS)","Principal trading partners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","3","","","","0"
"2018-02","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","127","","","","0"
"2018-03","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","174","","","","0"
"2018-04","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","121358","","","","0"
"2018-05","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","92922","","","","0"
"2018-06","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","26","","","","0"
"2018-07","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","260","","","","0"
"2018-08","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","860","","","","0"
"2018-09","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","839","","","","0"
"2018-10","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","522","","","","0"
"2018-11","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","94","","","","0"
