"REF_DATE","GEO","DGUID","Trade","North American Product Classification System (NAPCS)","Principal trading partners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2018-02","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2018-03","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2018-04","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2018-05","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2018-06","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2018-07","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2018-08","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2018-09","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2018-10","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2018-11","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2018-12","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2019-01","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2019-02","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2019-03","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2019-04","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2019-05","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2019-06","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2019-07","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2019-08","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2019-09","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2019-10","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2019-11","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2019-12","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2020-01","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2020-02","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2020-03","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2020-04","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2020-05","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2020-06","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2020-07","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2020-08","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2020-09","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2020-10","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2020-11","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2020-12","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2021-01","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2021-02","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2021-03","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2021-04","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2021-05","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2021-06","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2021-07","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
"2021-08","Nunavut","2021A000262","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567093344","15.1.10.2","0","","","","0"
