"REF_DATE","GEO","DGUID","Trade","North American Product Classification System (NAPCS)","Principal trading partners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2018-02","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2018-03","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2018-04","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2018-05","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2018-06","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2018-07","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2018-08","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2018-09","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2018-10","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2018-11","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2018-12","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2019-01","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2019-02","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2019-03","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2019-04","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2019-05","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2019-06","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2019-07","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2019-08","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2019-09","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2019-10","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2019-11","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
"2019-12","Northwest Territories","2021A000261","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567092590","14.1.10.2","0","","","","0"
