"REF_DATE","GEO","DGUID","Trade","North American Product Classification System (NAPCS)","Principal trading partners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Ontario","2021A000235","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088066","7.1.10.2","4345150","","","","0"
"2018-02","Ontario","2021A000235","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088066","7.1.10.2","5026481","","","","0"
"2018-03","Ontario","2021A000235","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088066","7.1.10.2","6531151","","","","0"
"2018-04","Ontario","2021A000235","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088066","7.1.10.2","5854864","","","","0"
"2018-05","Ontario","2021A000235","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088066","7.1.10.2","5681006","","","","0"
"2018-06","Ontario","2021A000235","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088066","7.1.10.2","5819981","","","","0"
"2018-07","Ontario","2021A000235","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088066","7.1.10.2","4203593","","","","0"
"2018-08","Ontario","2021A000235","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088066","7.1.10.2","5257421","","","","0"
"2018-09","Ontario","2021A000235","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088066","7.1.10.2","4997422","","","","0"
"2018-10","Ontario","2021A000235","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088066","7.1.10.2","4982286","","","","0"
"2018-11","Ontario","2021A000235","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088066","7.1.10.2","4654150","","","","0"
"2018-12","Ontario","2021A000235","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567088066","7.1.10.2","4257396","","","","0"
