"REF_DATE","GEO","DGUID","Trade","North American Product Classification System (NAPCS)","Principal trading partners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","241319","","","","0"
"2018-02","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","251401","","","","0"
"2018-03","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","258657","","","","0"
"2018-04","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","236965","","","","0"
"2018-05","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","269042","","","","0"
"2018-06","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","268850","","","","0"
"2018-07","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","253615","","","","0"
"2018-08","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","305122","","","","0"
"2018-09","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","257392","","","","0"
"2018-10","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","286251","","","","0"
"2018-11","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","291418","","","","0"
"2018-12","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","200559","","","","0"
"2019-01","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","248956","","","","0"
"2019-02","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","263830","","","","0"
"2019-03","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","323876","","","","0"
"2019-04","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","306104","","","","0"
"2019-05","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","310758","","","","0"
"2019-06","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","300941","","","","0"
"2019-07","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","284182","","","","0"
"2019-08","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","321931","","","","0"
"2019-09","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","293365","","","","0"
"2019-10","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","274078","","","","0"
"2019-11","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","277040","","","","0"
"2019-12","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","199749","","","","0"
"2020-01","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","256313","","","","0"
"2020-02","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","276013","","","","0"
"2020-03","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","257268","","","","0"
"2020-04","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","64977","","","","0"
"2020-05","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","97485","","","","0"
"2020-06","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","164347","","","","0"
"2020-07","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","203236","","","","0"
"2020-08","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","194979","","","","0"
"2020-09","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","218891","","","","0"
"2020-10","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","214268","","","","0"
"2020-11","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","218795","","","","0"
"2020-12","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","199320","","","","0"
"2021-01","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","192540","","","","0"
"2021-02","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","238628","","","","0"
"2021-03","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","268468","","","","0"
"2021-04","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","229293","","","","0"
"2021-05","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","223684","","","","0"
"2021-06","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","214316","","","","0"
"2021-07","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","189512","","","","0"
"2021-08","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","199785","","","","0"
"2021-09","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","167378","","","","0"
"2021-10","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","124306","","","","0"
"2021-11","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","149243","","","","0"
"2021-12","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","165988","","","","0"
"2022-01","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","147736","","","","0"
"2022-02","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","178808","","","","0"
"2022-03","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","209162","","","","0"
"2022-04","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","211910","","","","0"
"2022-05","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","227530","","","","0"
"2022-06","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","227455","","","","0"
"2022-07","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","195113","","","","0"
"2022-08","Quebec","2021A000224","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567087312","6.1.10.2","290735","","","","0"
