"REF_DATE","GEO","DGUID","Trade","North American Product Classification System (NAPCS)","Principal trading partners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","131892","","","","0"
"2018-02","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","106000","","","","0"
"2018-03","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","146569","","","","0"
"2018-04","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","162312","","","","0"
"2018-05","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","138614","","","","0"
"2018-06","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","138518","","","","0"
"2018-07","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","108924","","","","0"
"2018-08","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","121349","","","","0"
"2018-09","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","122898","","","","0"
"2018-10","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","152601","","","","0"
"2018-11","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","125720","","","","0"
"2018-12","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","105546","","","","0"
"2019-01","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","117061","","","","0"
"2019-02","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","125634","","","","0"
"2019-03","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","148908","","","","0"
"2019-04","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","124073","","","","0"
"2019-05","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","129740","","","","0"
"2019-06","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","120783","","","","0"
"2019-07","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","110881","","","","0"
"2019-08","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","97154","","","","0"
"2019-09","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","105331","","","","0"
"2019-10","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","130581","","","","0"
"2019-11","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","89219","","","","0"
"2019-12","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","80886","","","","0"
"2020-01","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","81044","","","","0"
"2020-02","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","86356","","","","0"
"2020-03","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","108610","","","","0"
"2020-04","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","67277","","","","0"
"2020-05","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","53394","","","","0"
"2020-06","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","63617","","","","0"
"2020-07","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","66438","","","","0"
"2020-08","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","64215","","","","0"
"2020-09","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","63074","","","","0"
"2020-10","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","101573","","","","0"
"2020-11","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","90075","","","","0"
"2020-12","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","73093","","","","0"
"2021-01","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","89041","","","","0"
"2021-02","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","96203","","","","0"
"2021-03","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","137215","","","","0"
"2021-04","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","121761","","","","0"
"2021-05","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","106512","","","","0"
"2021-06","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","103264","","","","0"
"2021-07","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","97681","","","","0"
"2021-08","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","96582","","","","0"
"2021-09","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","98610","","","","0"
"2021-10","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","99156","","","","0"
"2021-11","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","87938","","","","0"
"2021-12","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","90353","","","","0"
"2022-01","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","83761","","","","0"
"2022-02","Saskatchewan","2021A000247","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567089574","9.1.10.2","96241","","","","0"
