"REF_DATE","GEO","DGUID","Trade","North American Product Classification System (NAPCS)","Principal trading partners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","1","","","","0"
"2018-02","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","1","","","","0"
"2018-03","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","14","","","","0"
"2018-04","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","7","","","","0"
"2018-05","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","12","","","","0"
"2018-06","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","54","","","","0"
"2018-07","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","136","","","","0"
"2018-08","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","28","","","","0"
"2018-09","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","11","","","","0"
"2018-10","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","10","","","","0"
"2018-11","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","0","","","","0"
"2018-12","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","15","","","","0"
"2019-01","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","4","","","","0"
"2019-02","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","0","","","","0"
"2019-03","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","0","","","","0"
"2019-04","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","10","","","","0"
"2019-05","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","32","","","","0"
"2019-06","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","83","","","","0"
"2019-07","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","16","","","","0"
"2019-08","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","78","","","","0"
"2019-09","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","148","","","","0"
"2019-10","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","202","","","","0"
"2019-11","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","94","","","","0"
"2019-12","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","113","","","","0"
"2020-01","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","150","","","","0"
"2020-02","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","23","","","","0"
"2020-03","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","144","","","","0"
"2020-04","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","84","","","","0"
"2020-05","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","138","","","","0"
"2020-06","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","117","","","","0"
"2020-07","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","189","","","","0"
"2020-08","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","0","","","","0"
"2020-09","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","215","","","","0"
"2020-10","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","210","","","","0"
"2020-11","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","47","","","","0"
"2020-12","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","175","","","","0"
"2021-01","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","248","","","","0"
"2021-02","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","0","","","","0"
"2021-03","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","473","","","","0"
"2021-04","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","0","","","","0"
"2021-05","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","286","","","","0"
"2021-06","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","450","","","","0"
"2021-07","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","1823","","","","0"
"2021-08","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","157","","","","0"
"2021-09","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","252","","","","0"
"2021-10","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","164","","","","0"
"2021-11","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","329","","","","0"
"2021-12","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","0","","","","0"
"2022-01","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","88","","","","0"
"2022-02","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","79","","","","0"
"2022-03","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","115","","","","0"
"2022-04","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","9","","","","0"
"2022-05","Yukon","2021A000260","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567091836","12.1.10.2","27","","","","0"
